local_authority_id,name
201,City of London
202,Camden
203,Greenwich
204,Hackney
205,Hammersmith and Fulham
206,Islington
207,Kensington and Chelsea
208,Lambeth
209,Lewisham
210,Southwark
211,Tower Hamlets
212,Wandsworth
213,Westminster
301,Barking and Dagenham
302,Barnet
303,Bexley
304,Brent
305,Bromley
306,Croydon
307,Ealing
308,Enfield
309,Haringey
310,Harrow
311,Havering
312,Hillingdon
313,Hounslow
314,Kingston upon Thames
315,Merton
316,Newham
317,Redbridge
318,Richmond upon Thames
319,Sutton
320,Waltham Forest
330,Birmingham
331,Coventry
332,Dudley
333,Sandwell
334,Solihull
335,Walsall
336,Wolverhampton
340,Knowsley
341,Liverpool
342,St. Helens
343,Sefton
344,Wirral
350,Bolton
351,Bury
352,Manchester
353,Oldham
354,Rochdale
355,Salford
356,Stockport
357,Tameside
358,Trafford
359,Wigan
370,Barnsley
371,Doncaster
372,Rotherham
373,Sheffield
380,Bradford
381,Calderdale
382,Kirklees
383,Leeds
384,Wakefield
390,Gateshead
391,Newcastle upon Tyne
392,North Tyneside
393,South Tyneside
394,Sunderland
420,Isles of Scilly
800,Bath and North East Somerset
801,Bristol
802,North Somerset
803,South Gloucestershire
805,Hartlepool
806,Middlesbrough
807,Redcar and Cleveland
808,Stockton-on-Tees
810,Kingston upon Hull
811,East Riding of Yorkshire
812,North East Lincolnshire
813,North Lincolnshire
815,North Yorkshire
816,York
821,Luton
822,Bedford
823,Central Bedfordshire
825,Buckinghamshire
826,Milton Keynes
830,Derbyshire
831,Derby
835,Dorset
836,Poole
837,Bournemouth
840,Durham
841,Darlington
845,East Sussex
846,Brighton and Hove
850,Hampshire
851,Portsmouth
852,Southampton
855,Leicestershire
856,Leicester
857,Rutland
860,Staffordshire
861,Stoke-on-Trent
865,Wiltshire
866,Swindon
867,Bracknell Forest
868,Windsor and Maidenhead
869,West Berkshire
870,Reading
871,Slough
872,Wokingham
873,Cambridgeshire
874,Peterborough
876,Halton
877,Warrington
878,Devon
879,Plymouth
880,Torbay
881,Essex
882,Southend-on-Sea
883,Thurrock
884,Herefordshire
885,Worcestershire
886,Kent
887,Medway
888,Lancashire
889,Blackburn with Darwen
890,Blackpool
891,Nottinghamshire
892,Nottingham
893,Shropshire
894,Telford and Wrekin
895,Cheshire East
896,Cheshire West and Chester
908,Cornwall
909,Cumbria
916,Gloucestershire
919,Hertfordshire
921,Isle of Wight
925,Lincolnshire
926,Norfolk
928,Northamptonshire
929,Northumberland
931,Oxfordshire
933,Somerset
935,Suffolk
936,Surrey
937,Warwickshire
938,West Sussex
820,Bedfordshire
875,Cheshire
703,British Overseas Establishments
704,Fieldwork Overseas Establishments
708,Gibraltar Establishments
706,Guernsey Establishments
705,Isle of Man Establishments
707,Jersey Establishments
901,Pre LGR Avon
902,Pre LGR Bedfordshire
903,Pre LGR Berkshire
904,Pre LGR Buckinghamshire
905,Pre LGR Cambridgeshire
906,Pre LGR Cheshire
907,Pre LGR Cleveland
910,Pre LGR Derbyshire
911,Pre LGR Devon
912,Pre LGR Dorset
913,Pre LGR Durham
914,Pre LGR East Sussex
915,Pre LGR Essex
917,Pre LGR Hampshire
918,Pre LGR Hereford and Worcester
920,Pre LGR Humberside
922,Pre LGR Kent
923,Pre LGR Lancashire
924,Pre LGR Leicestershire
927,Pre LGR North Yorkshire
930,Pre LGR Nottinghamshire
932,Pre LGR Shropshire
934,Pre LGR Staffordshire
939,Pre LGR Wiltshire
701,Scotland Offshore Establishments
702,Service Children's Education
709,Traveller Education Service
677,Blaenau Gwent
672,Bridgend
676,Caerphilly
681,Cardiff
669,Carmarthenshire
667,Ceredigion
662,Conwy
663,Denbighshire
664,Flintshire
661,Gwynedd
660,Isle of Anglesey
675,Merthyr Tydfil
679,Monmouthshire
671,Neath Port Talbot
680,Newport
668,Pembrokeshire
666,Powys
674,"Rhondda, Cynon, Taff"
670,Swansea
673,The Vale of Glamorgan
678,Torfaen
665,Wrexham
