local_authority_id,result_type,result_year,total_pupils,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_not_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_not_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
201,KS2,2015,240,8%,65%,27%,50%,50%,89%,96%,18%,96%,100%,92%,,100%,100%,100%,93%,7,96%,97%,97%,96%,96%,100%,92%,,100%,100%,100%,93%,7,96%,98%,100%,96%,96%,100%,92%,,100%,100%,100%,93%,7,96%,98%,100%,96%,96%,97%,97%,93%,96%,93%,70%,50%,47%,52%,30%,4%,20%,41%,41%,80%,59%,59%,7%
202,KS2,2015,11567,21%,60%,18%,59%,41%,63%,93%,6%,94%,94%,94%,82%,98%,97%,93%,96%,-3,94%,94%,93%,96%,94%,93%,95%,84%,98%,94%,93%,96%,-3,93%,94%,93%,95%,96%,94%,97%,87%,98%,98%,94%,97%,-3,95%,96%,95%,97%,86%,81%,82%,86%,75%,71%,75%,28%,26%,25%,31%,5%,60%,64%,64%,40%,36%,36%,5%
203,KS2,2015,26001,17%,59%,24%,45%,55%,41%,93%,7%,94%,94%,94%,82%,97%,97%,93%,96%,-3,96%,94%,92%,95%,95%,94%,96%,86%,98%,94%,93%,96%,-3,95%,93%,92%,95%,97%,96%,98%,89%,99%,100%,96%,98%,-2,98%,96%,95%,98%,87%,81%,81%,86%,79%,69%,75%,35%,24%,27%,31%,4%,46%,47%,47%,54%,53%,53%,2%
204,KS2,2015,20369,20%,63%,16%,57%,43%,57%,94%,6%,93%,93%,93%,80%,96%,96%,91%,96%,-5,94%,93%,92%,95%,93%,93%,92%,82%,96%,93%,91%,95%,-4,93%,92%,90%,94%,96%,96%,96%,90%,98%,97%,95%,97%,-2,97%,96%,95%,97%,84%,76%,81%,81%,71%,66%,67%,23%,17%,19%,23%,5%,58%,60%,60%,42%,40%,40%,4%
205,KS2,2015,11973,18%,57%,25%,55%,45%,49%,94%,8%,91%,91%,91%,77%,94%,94%,88%,94%,-6,92%,92%,89%,95%,93%,91%,96%,82%,97%,94%,92%,95%,-3,93%,94%,92%,96%,95%,94%,96%,87%,97%,97%,93%,97%,-4,95%,94%,93%,96%,83%,77%,79%,84%,75%,68%,74%,28%,24%,26%,28%,6%,59%,58%,58%,41%,42%,42%,4%
206,KS2,2015,16499,23%,57%,20%,66%,34%,44%,93%,7%,93%,93%,93%,84%,96%,95%,92%,94%,-2,95%,92%,90%,95%,94%,93%,94%,84%,97%,96%,92%,97%,-5,94%,93%,91%,96%,96%,95%,97%,90%,98%,98%,95%,98%,-3,95%,95%,94%,98%,83%,76%,77%,82%,71%,63%,70%,26%,20%,21%,26%,5%,66%,69%,69%,34%,31%,31%,4%
207,KS2,2015,7426,14%,61%,26%,51%,49%,55%,93%,4%,96%,97%,95%,89%,97%,98%,96%,97%,-1,97%,95%,95%,95%,97%,97%,97%,89%,99%,97%,97%,97%,0,97%,95%,95%,95%,98%,98%,98%,93%,99%,98%,98%,98%,0,99%,97%,97%,98%,91%,82%,84%,86%,84%,73%,78%,39%,29%,30%,37%,3%,53%,54%,54%,47%,46%,46%,3%
208,KS2,2015,23549,19%,65%,16%,54%,46%,51%,94%,9%,94%,94%,95%,83%,98%,97%,93%,96%,-3,95%,94%,92%,96%,95%,94%,96%,86%,98%,94%,93%,97%,-4,95%,94%,92%,96%,96%,95%,98%,89%,98%,99%,95%,98%,-3,97%,96%,94%,98%,86%,79%,81%,82%,77%,70%,71%,25%,21%,23%,23%,4%,56%,56%,56%,44%,44%,44%,4%
209,KS2,2015,29599,21%,56%,23%,45%,55%,33%,92%,9%,92%,92%,92%,80%,95%,94%,88%,95%,-7,93%,92%,89%,95%,93%,91%,94%,80%,97%,94%,90%,95%,-5,93%,93%,90%,95%,96%,94%,97%,89%,97%,98%,94%,97%,-3,96%,96%,94%,97%,84%,81%,83%,80%,74%,71%,69%,29%,24%,27%,28%,6%,43%,45%,45%,57%,55%,55%,4%
210,KS2,2015,25550,20%,61%,18%,51%,49%,44%,93%,7%,94%,93%,94%,85%,96%,96%,92%,95%,-3,94%,92%,91%,94%,93%,91%,95%,84%,96%,92%,91%,94%,-3,93%,92%,91%,94%,95%,93%,97%,89%,97%,98%,94%,97%,-3,96%,94%,93%,96%,82%,77%,77%,81%,71%,65%,70%,24%,20%,20%,23%,5%,53%,53%,53%,47%,47%,47%,3%
211,KS2,2015,24573,17%,64%,19%,67%,33%,78%,94%,7%,93%,93%,93%,80%,96%,96%,92%,96%,-4,94%,93%,92%,95%,94%,92%,95%,85%,97%,93%,93%,96%,-3,94%,92%,91%,94%,96%,95%,97%,89%,98%,97%,96%,97%,-1,96%,95%,94%,96%,84%,78%,78%,82%,73%,65%,69%,24%,18%,19%,22%,4%,72%,72%,72%,28%,28%,28%,3%
212,KS2,2015,19976,17%,62%,21%,43%,57%,45%,93%,6%,92%,92%,92%,80%,95%,95%,89%,94%,-5,94%,93%,91%,95%,94%,93%,95%,82%,97%,95%,93%,94%,-1,95%,94%,93%,95%,96%,94%,97%,89%,97%,99%,93%,97%,-4,96%,96%,94%,97%,84%,82%,82%,82%,73%,70%,70%,27%,25%,27%,28%,5%,43%,42%,42%,57%,58%,58%,4%
213,KS2,2015,11594,18%,63%,19%,52%,48%,73%,92%,6%,94%,94%,95%,86%,97%,94%,93%,96%,-3,94%,95%,94%,96%,94%,93%,95%,89%,95%,96%,93%,95%,-2,94%,94%,93%,96%,96%,95%,97%,92%,97%,98%,95%,97%,-2,97%,97%,96%,97%,84%,77%,79%,86%,72%,66%,74%,24%,23%,23%,28%,4%,58%,60%,60%,42%,40%,40%,3%
301,KS2,2015,24420,20%,59%,21%,47%,53%,49%,91%,4%,91%,91%,90%,81%,94%,91%,88%,93%,-5,91%,90%,86%,93%,91%,91%,92%,83%,95%,90%,88%,94%,-6,92%,89%,86%,93%,95%,94%,96%,89%,97%,96%,93%,97%,-4,96%,93%,91%,95%,81%,73%,75%,78%,69%,61%,66%,24%,16%,18%,22%,5%,45%,49%,49%,55%,51%,51%,2%
302,KS2,2015,28794,16%,58%,26%,32%,68%,47%,94%,3%,93%,94%,92%,79%,95%,96%,90%,94%,-4,92%,93%,90%,94%,95%,94%,96%,85%,97%,96%,92%,96%,-4,94%,93%,91%,95%,95%,94%,96%,90%,96%,97%,93%,96%,-3,95%,94%,91%,95%,84%,79%,79%,83%,76%,69%,74%,28%,24%,26%,29%,4%,33%,33%,33%,67%,67%,67%,2%
303,KS2,2015,23633,14%,57%,29%,27%,73%,17%,94%,3%,91%,92%,90%,74%,94%,94%,87%,92%,-5,95%,91%,86%,92%,93%,93%,93%,81%,96%,93%,91%,94%,-3,95%,91%,89%,92%,94%,93%,95%,87%,96%,94%,91%,95%,-4,96%,94%,92%,95%,84%,77%,81%,80%,74%,68%,69%,28%,21%,26%,27%,4%,24%,25%,25%,76%,75%,75%,3%
304,KS2,2015,26733,18%,61%,21%,39%,61%,65%,94%,6%,91%,91%,91%,79%,95%,93%,89%,93%,-4,92%,92%,90%,93%,92%,91%,94%,83%,96%,93%,91%,94%,-3,92%,92%,90%,93%,95%,94%,97%,90%,97%,98%,92%,97%,-5,95%,94%,92%,96%,83%,77%,77%,80%,72%,66%,69%,26%,21%,22%,25%,6%,41%,44%,44%,59%,56%,56%,3%
305,KS2,2015,23400,15%,57%,28%,24%,76%,12%,95%,5%,94%,94%,93%,81%,96%,96%,90%,95%,-5,95%,93%,89%,94%,95%,94%,95%,84%,97%,95%,92%,95%,-3,96%,93%,90%,94%,96%,96%,97%,89%,98%,98%,95%,97%,-2,96%,95%,91%,96%,86%,79%,80%,84%,79%,70%,76%,31%,25%,28%,30%,4%,21%,22%,22%,79%,78%,78%,3%
306,KS2,2015,31298,20%,58%,22%,39%,61%,32%,95%,5%,88%,88%,87%,70%,92%,93%,82%,91%,-9,92%,88%,83%,91%,90%,89%,92%,77%,94%,93%,87%,93%,-6,92%,90%,87%,92%,93%,91%,95%,86%,95%,97%,91%,95%,-4,94%,91%,88%,93%,78%,74%,74%,75%,66%,63%,64%,23%,19%,19%,21%,7%,37%,38%,38%,63%,62%,62%,4%
307,KS2,2015,32525,18%,58%,24%,37%,63%,63%,93%,4%,92%,92%,91%,80%,94%,94%,90%,93%,-3,93%,92%,90%,93%,93%,93%,93%,83%,96%,94%,91%,94%,-3,93%,93%,91%,94%,95%,95%,96%,90%,97%,96%,94%,96%,-2,96%,95%,94%,96%,83%,76%,77%,81%,72%,64%,70%,24%,22%,22%,25%,5%,37%,39%,39%,63%,61%,61%,3%
308,KS2,2015,30297,19%,61%,20%,44%,56%,50%,93%,4%,92%,92%,91%,82%,94%,95%,90%,93%,-3,93%,91%,88%,93%,91%,91%,91%,81%,95%,91%,90%,92%,-2,90%,90%,88%,92%,96%,95%,97%,91%,97%,97%,95%,96%,-1,96%,94%,93%,95%,81%,74%,76%,78%,69%,62%,65%,23%,19%,20%,23%,6%,43%,44%,44%,57%,56%,56%,3%
