school_urn,local_authority_id,academy_URN,result_type,result_year,total_pupils,is_special,new_school,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_non_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_value_added,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
101583,304,,KS2,2015,249,TRUE,,100%,0%,0%,25%,75%,83%,100%,,0%,0%,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,,,,0%,3%,6%,0%,0%,0%,,,,,,,,0%,3%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,,45%,80%,67%,55%,20%,33%,
138122,881,,KS2,2015,230,TRUE,,100%,0%,0%,27%,73%,18%,91%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,17%,27%,42%,83%,73%,58%,
123635,894,,KS2,2015,209,TRUE,,100%,0%,0%,50%,50%,8%,92%,,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.2,43%,64%,55%,57%,36%,45%,
106543,359,,KS2,2015,205,TRUE,,100%,0%,0%,37%,63%,11%,89%,,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,100%,90.3,86%,50%,,14%,50%,,
115464,881,,KS2,2015,196,TRUE,,100%,0%,0%,50%,50%,0%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.6,33%,36%,65%,67%,64%,35%,
100987,211,,KS2,2015,190,TRUE,,100%,0%,0%,75%,25%,100%,100%,,0%,0%,,0%,,,,,,0%,0%,0%,0%,13%,0%,,13%,,,,,,13%,10%,9%,13%,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.8,80%,67%,76%,20%,33%,24%,
131425,806,,KS2,2015,183,TRUE,,100%,0%,0%,44%,56%,33%,100%,,0%,0%,,0%,,,,,,,0%,,,0%,0%,,0%,,,,,,,0%,,,0%,0%,,0%,,,,,,,0%,,,0%,0%,,,0%,,,0%,0%,,,100%,91.2,75%,,,25%,,,
134030,206,,KS2,2015,177,TRUE,,100%,0%,0%,90%,10%,50%,90%,,0%,0%,,0%,,,,,,,3%,,,0%,0%,,0%,,,,,,,3%,,,0%,0%,,0%,,,,,,,6%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.8,75%,87%,100%,25%,13%,0%,
132153,355,,KS2,2015,172,TRUE,,100%,0%,0%,78%,22%,13%,91%,,0%,0%,,0%,,,,,,,9%,15%,0%,0%,0%,,0%,,,,,,,7%,12%,0%,0%,0%,,0%,,,,,,,7%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.9,63%,50%,48%,37%,50%,52%,
135228,380,,KS2,2015,168,TRUE,,100%,0%,0%,56%,44%,61%,100%,,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,94%,89.1,44%,42%,37%,56%,58%,63%,
